id,type,createdAt,post_text,linkedinUrl,author/name,author/linkedinUrl,author/info,repostId,processed_at
7482979990876110848,post,,"📢 WE ARE HIRING

🏢 Organization: Barbeque Nation

💼 Position: In-House Staff

🎓 Qualification: Minimum 10th Pass

🌍 Location: Pan India

💰 Salary: ₹11,500 – ₹15,000/Month

🎁 Benefits:
🍽️ Free Food
🏠 Accommodation Provided
🚆 Travel Allowance (TA)
✅ Immediate Joining

📝 Job Responsibilities
✔ Restaurant Operations Support
✔ Kitchen & Service Team Assistance
✔ Maintain Hygiene Standards
✔ Customer Service Support

👨‍💼 Freshers & Experienced Candidates Welcome

 📩 How to Apply:
Interested candidates send your CV to *+91 9333892277 / +91 9163066266*
📝 Mention: *SS CAREER SOLUTIONS* 

Regards,
*SS CAREER SOLUTIONS* - Building Careers. Strengthening Businesses.
📧Email: sscareersolutions2@gmail.com - *SS Career Solutions* – Building Careers. Strengthening Businesses.

🚫 NO REGISTRATION FEES
✅ 100% Genuine Job Opportunity                       -                 Male Female both applicable.",https://www.linkedin.com/posts/sumit-nandi-b44464360_we-are-hiring-organization-barbeque-activity-7482979990876110848-luO2,SUMIT NANDI,https://www.linkedin.com/in/sumit-nandi-b44464360?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAFnEt2QBeexAA_dE-1rQ1zSVvoAO_cAAgBw,SS CAREER SOLUTIONS,,2026-07-30 07:08:28
7487396943632146434,post,,"We're Hiring: Customer Care Executive | Barbeque Nation | Jayanagar
📍 Location: Jayanagar
💼 Job Type: Full-time | On-site
🕒 Hiring: Immediate Joiners Preferred
🎯 Open Positions: 10
About the Role
Barbeque Nation is looking for enthusiastic and customer-focused Customer Care Executives to join our team. If you have excellent communication skills and enjoy interacting with customers, this is a great opportunity to build your career with a leading hospitality brand.
Eligibility
Freshers are welcome to apply
Minimum qualification: 10th Pass
Fluency in English and Hindi is mandatory
Age: 18–30 years
Key Responsibilities
Handle inbound and outbound customer calls professionally.
Convert customer enquiries into confirmed bookings and sales.
Resolve customer queries, concerns, and objections effectively.
Achieve daily targets while maintaining high service quality standards.
Candidate Requirements
Strong communication and persuasion skills.
Sales-oriented, target-driven, and self-motivated.
Willing to work 9-hour rotational shifts (between 8:00 AM and 10:00 PM).
Comfortable working on weekends and public holidays (comp-off provided).
Why Join Barbeque Nation?
Work with one of India's leading hospitality brands.
Supportive and growth-oriented work environment.
Excellent learning and career advancement opportunities.
Experience: 0–5 years
Education: 10th Pass and above
Languages: English & Hindi
📞 To apply or know more, contact:
Snigdha – 9986731408
Apply now and kick-start your career with Barbeque Nation!",https://www.linkedin.com/feed/update/urn:li:groupPost:10398421-7487396942805745664,Snigdha P.,https://www.linkedin.com/in/snigdha-p-bb467aa3?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABX9eTgB2kOodCyY1oJsYQIkzTBFxqxXo88,Management graduate,,2026-07-30 07:08:28
7484325092622266370,comment,2026-07-18T19:15:54.118Z,"Interested for guwahati location feild recruiter job, 3/4 yrs experience as a recruiter job,8638490423 cl me plz... I will immediately joiners.. plz help me sir/mem..",https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7484325092622266370%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287484325092622266370%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7485004725361422336,comment,2026-07-20T16:16:31.190Z,Interested for jharkhand ,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7485004725361422336%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287485004725361422336%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7482362332539678720,comment,2026-07-13T09:16:35.648Z,"Hi Adarsh, we're already supporting large-scale recruitment projects and have a strong presence in the North East through our office in Guwahati. If you require support in hiring frontline or blue-collar talent across the region, we'd be happy to help. Looking forward to connecting!",https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7482362332539678720%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287482362332539678720%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7482284262390484992,comment,2026-07-13T04:06:22.274Z,"Interested for guwahati location feild recruiter job in guwahati location,8638490423 ,,4 yrs experience ",https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7482284262390484992%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287482284262390484992%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7486270535916621824,comment,2026-07-24T04:06:23.944Z,Rishikesh Kumar fyi,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7486270535916621824%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287486270535916621824%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7482951352223117312,comment,2026-07-15T00:17:08.883Z,Adarsh Pandey sir I have a similar experience please have a look at my resume already shared on your mail please check,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7482951352223117312%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287482951352223117312%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7481758007538683904,comment,2026-07-11T17:15:13.340Z,We can help you source right candidates in bulk ,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7481758007538683904%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287481758007538683904%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
7484261221706174465,comment,2026-07-18T15:02:06.105Z,Interested for Guwahati & WestBengal ,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7484261221706174465%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287484261221706174465%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,,,,,2026-07-30 07:08:28
