url,type,productType,timestamp,caption,likesCount,commentsCount,videoViewCount,videoPlayCount,hashtags,mentions,locationName,total_engagement,post_date,post_day,post_hour,hashtag_count
https://www.instagram.com/p/DbAzyMch1GF/,Image,feed,2026-07-20 11:14:54+00:00,Every great journey deserves an unlimited feast. 🔥 #odyssey #Nolan #Trending,70,7,0,0,"odyssey, Nolan, Trending",,,77,2026-07-20,Monday,11,3
https://www.instagram.com/p/DbALoeRhjx3/,Video,clips,2026-07-20 05:25:16+00:00,"The doors open today. 🌴 For the first time ever, the flavours of Southern India arrive at Barbeque Nation UAE with **Aromas of Southern India**—an exclusive chef takeover by Chef Kenneth Gopinath, the youngest contestant on MasterChef India. From bold spices to timeless regional favourites, discover a menu that celebrates the richness of Southern India with a fresh perspective. 📍 Barbeque Nation, Al Barsha, Dubai 📅 Starting today | 20th–26th July, 2026 📞 +971 4 872 3613 Book your table and be among the first to experience it. #BarbequeNation #BarbequeVibes #Dubai",122,15,4238,29894,"BarbequeNation, BarbequeVibes, Dubai",,,137,2026-07-20,Monday,5,3
https://www.instagram.com/p/DbDFq8PhLJJ/,Video,clips,2026-07-21 08:30:40+00:00,"When the rains arrive, so do the flavours we've all been craving. From spicy Misal to comforting monsoon favourites from across India, Chef Sadik Mullani brings the season to your plate—one delicious bite at a time. ❤️🍲 📍 Barbeque Nation, Deccan Mall, Pune 📅 21st – 27th July 2026 Reserve your table now on the Barbeque Nation App or Website. 08069026720 for reservations! #BarbequeNation #TasteOfMonsoon #Pune",188,9,6512,35114,"BarbequeNation, TasteOfMonsoon, Pune",,,197,2026-07-21,Tuesday,8,3
https://www.instagram.com/p/DbDx_AbhDpl/,Video,clips,2026-07-21 14:57:50+00:00,"The best recipes aren't always the most famous, sometimes they're the ones waiting to be rediscovered. ✨ Join Chef Sherie Mehta for Saanjha, a celebration of Punjab's forgotten flavours, where every dish carries the warmth of home and the richness of tradition. 📍 Indiranagar, Bengaluru 🗓️ 22nd – 26th July, 2026 Tag your food partner and experience a menu that's been waiting to be remembered. ❤️ #Saanjha #BarbequeNation #ChefSherry",436,17,15057,38034,"Saanjha, BarbequeNation, ChefSherry",,,453,2026-07-21,Tuesday,14,3
https://www.instagram.com/p/DbA2DvwhW5D/,Image,feed,2026-07-20 11:34:45+00:00,"And the winners are... 🎉 A big congratulations to our smile champions! 😄 Shoutout to: ✨ @piya_n_mom ✨ @tithimondal213 ✨ @nandsinsta Thank you to everyone who joined in and filled our comments with smiles. Your favourite emojis made our day a little brighter. ❤️ Winners, keep an eye on your DMs—we'll be reaching out soon! 📩 #BarbequeNation #SmilesAreEverywhere #ContestWinners",90,34,0,0,"BarbequeNation, SmilesAreEverywhere, ContestWinners","piya_n_mom, tithimondal213, nandsinsta",,124,2026-07-20,Monday,11,3
https://www.instagram.com/p/DbAWrZ8hc8l/,Video,clips,2026-07-20 07:02:41+00:00,"Suvai Yathirai isn't just a food festival—it's a journey across the rich flavours of the Deccan. 🌿 From forgotten family recipes to regional favourites, Dr. Chef Nithya Franklyn brings together the stories, spices, and soul of South India in one unforgettable culinary experience. 📍 Barbeque Nation, T Nagar, Chennai 📅 22nd–26th July, 2026 Come hungry. Leave with a taste of the Deccan you'll remember. #BarbequeNation #BarbequeVibes #SuvaiYathirai #Chennai",150,28,5203,37203,"BarbequeNation, BarbequeVibes, SuvaiYathirai, Chennai",,,178,2026-07-20,Monday,7,4
https://www.instagram.com/p/DavWOIwNqw4/,Video,clips,2026-07-13 16:30:19+00:00,"This July, your city's serving more than just great food. 🔥 Limited-time chef-curated menus. Unlimited reasons to visit. 📍 Mumbai | Chef Aditya Sahu | 15–19 July 📍 Hyderabad | Chef Suraj Thapa | 20–26 July 📍 Bengaluru | Chef Sherie Mehtaa | 22–26 July 📍 Chennai | Chef Nithya Franklyn | 22–26 July Which stop are you making first? 👀 Book your table on the Barbeque Nation App or website. #BarbequeNation #BarbequeVibes #ChefTakeover",184,35,6374,40785,"BarbequeNation, BarbequeVibes, ChefTakeover",,,219,2026-07-13,Monday,16,3
https://www.instagram.com/p/DbAPpJ2BASs/,Video,clips,2026-07-20 06:32:34+00:00,"This July, pull up a chair at The Royal Bengal Table, where Chef Suraj Thapa brings Bengal's forgotten culinary treasures back to life—one heirloom recipe at a time. From royal kitchens to family heirlooms, every bite tells a story worth rediscovering. 📍 Barbeque Nation, Kukatpally, Hyderabad 📅 20th – 26th July, 2026 Reserve your table now on the Barbeque Nation App or Website. 08069026720 for reservations! #BengaliCuisine #Hyderabad #BarbequeNation",239,24,8269,35745,"BengaliCuisine, Hyderabad, BarbequeNation",,,263,2026-07-20,Monday,6,3
https://www.instagram.com/p/Da5eRffmN91/,Sidecar,carousel_container,2026-07-17 14:52:11+00:00,"#CONTESTALERT Comment down the smiley you use the most in our comment section! *Bonus points if you tell us why! Results will be announced on 20th July 2026 5:00 PM IST Winners will be selected through a random online raffle from all eligible entries. Good luck, and may the best emoji win! *T&C Apply #WorldEmojiDay #BarbequeNation #SmileAway #Emojis",873,2210,0,0,"CONTESTALERT, WorldEmojiDay, BarbequeNation, SmileAway, Emojis",,,3083,2026-07-17,Friday,14,5
https://www.instagram.com/p/DaxuYUIhvRv/,Video,clips,2026-07-14 14:40:05+00:00,"This July, discover The Nawab's Table with Chef Aditya Sahu—a limited-time culinary experience that reimagines Mughlai classics with a contemporary twist. Expect bold flavours, rich aromas, and dishes crafted to celebrate the royal legacy of Mughlai cuisine. 📍 Barbeque Nation, Fun Republic, Lokhandwala, Mumbai 📅 15th – 19th July, 2026 Reserve your table now on the Barbeque Nation App or Website. 08069026720 for reservations! #BarbequeNation #BarbequeVibes #Mumbai Mumbai food festival | Mumbai chef pop up | Mughlai food Mumbai | Lokhandwala restaurants | Andheri West restaurants | Buffet in Mumbai | Unlimited buffet Mumbai",929,21,32044,77261,"BarbequeNation, BarbequeVibes, Mumbai",,,950,2026-07-14,Tuesday,14,3
